id,name,ra,dec,mag,dist_ly,spect,con
84391,HR 6428,17.305353,-16.311877,6.28,823.6,M0/M1III,Oph
84783,HR 6465,17.380913,-2.388176,6.28,63.7,G5IV,Oph
86361,HR 6576,17.701005,-50.510703,6.28,1203.5,M3III,Ara
87594,HR 6690,17.948882,6.48773,6.28,633.3,B9III,Oph
87676,HR 6683,17.966053,-39.136523,6.28,413.4,A0IV/V,Sco
87944,HR 6722,18.015909,15.09355,6.28,145.3,G5IV,Her
89959,HR 6892,18.411702,-7.075936,6.28,310.0,K0,Sct
90229,HR 6914,18.46838,-26.757245,6.28,262.2,A3/A4V,Sgr
91526,HR 7082,18.719541,70.792849,6.28,626.0,K2,Dra
92309,HR 7118,18.868681,41.383244,6.28,1606.7,B9p Si,Lyr
92345,HR 7103,18.874532,-26.65077,6.28,370.6,G8/K0III,Sgr
92977,HR 7183,18.999475,22.814515,6.28,704.4,M4III,Vul
93592,HR 7241,19.118979,-18.738171,6.28,606.2,B8V,Sgr
93977,HR 7270,19.188559,-29.502293,6.28,478.2,B8/B9V,Sgr
96763,HR 7526,19.727637,57.042713,6.28,253.6,K2III,Cyg
99573,HR 7752,20.267619,38.898012,6.28,426.9,A1V,Cyg
99828,HR 7745,20.315548,-47.710774,6.28,979.4,M1III,Tel
101765,HD 196829,20.690182,-42.13378,6.28,1144.4,M3II,Mic
102230,HR 7946,20.784323,-2.486912,6.28,780.3,K2,Aqr
105337,HR 8156,21.40465,-69.733882,6.28,1315.1,C5II,Pav
106564,HR 8268,21.651697,-33.678856,6.28,146.7,G8IV,PsA
107001,HR 8299,21.741516,-38.55253,6.28,867.4,K1IIICN...,Gru
107159,HR 8325,21.773316,25.563504,6.28,362.8,K3III:,Peg
108439,HR 8394,22.036625,-17.903474,6.28,293.3,K0III,Aqr
109096,HR 8451,22.17253,-3.894086,6.28,483.2,A1Vnn,Aqr
111244,σ Gru,22.608139,-40.582689,6.28,222.8,A3Vn,Gru
111276,HR 8609,22.613523,35.652419,6.28,847.2,K5,Lac
111724,HD 214983,22.701674,-5.101968,6.28,688.1,M0,Aqr
112142,HR 8668,22.788658,-34.161722,6.28,357.2,K1III,PsA
113000,HR 8730,22.959112,3.810241,6.28,372.8,K1III,Psc
115043,65 Peg,23.37792,20.828716,6.28,571.2,B9.5V,Peg
117810,1 Cet,23.972562,-15.847484,6.28,622.4,K1IIICN...,Cet
6074,HR 376,1.302818,47.419706,6.29,2160.0,K0,And
9805,HR 616,2.108141,0.035384,6.29,601.8,K0,Cet
11147,HR 690,2.397707,55.364861,6.29,3048.2,F7Ib,Per
12273,HR 769,2.641098,38.089141,6.29,676.7,B9.5V,And
13734,HR 884,2.953584,-29.855289,6.29,489.0,A2/A3V:+...,For
14935,HR 970,3.21708,-35.943688,6.29,470.0,B9IV/V,For
16055,HR 1039,3.455188,12.735289,6.29,285.9,A0Vs,Tau
16383,HR 1056,3.524818,49.20977,6.29,486.8,A0Vn,Per
16786,HR 1154,3.608382,-78.323073,6.29,751.5,K2III,Men
16933,HR 1094,3.638811,56.932713,6.29,512.8,B9p,Cam
17422,HR 1168,3.742744,-54.274027,6.29,248.6,K1III,Ret
19364,HR 1270,4.157659,59.908071,6.29,1393.8,G8II,Cam
23197,HR 1682,5.003688,-78.300009,6.29,893.6,K5/M0III,Men
25742,HR 1831,5.51204,22.462255,6.29,357.2,K0,Tau
27257,HR 2009,5.788524,-35.674075,6.29,530.3,K1III,Col
27556,HR 2003,5.848976,51.514583,6.29,286.1,K1III,Aur
29989,HD 44225,6.32727,-22.103119,6.29,921.3,K3III,CMa
33632,Citalá,7.00501,-5.367162,6.29,94.5,G0III-IV,Mon
35205,HR 2765,7.292129,-6.679997,6.29,985.4,K2,Mon
36750,HR 2925,7.577662,-51.474517,6.29,1489.3,A1III/IV,Car
42437,Meleph,8.67417,19.544808,6.29,586.6,Am,Cnc
43075,HR 3503,8.800064,-52.850151,6.29,462.6,B8V,Vel
48501,HR 3911,9.917598,61.116123,6.29,390.6,K0,UMa
51686,HR 4170,10.59022,-76.308986,6.29,463.3,K2III,Cha
51736,HR 4157,10.601252,-26.675479,6.29,134.6,F5V,Hya
51765,35 LMi,10.605949,36.326927,6.29,156.4,F3V,LMi
52557,HD 93453,10.776984,-43.192673,6.29,236.2,A4IV,Vel
52643,HR 4226,10.794001,-57.467411,6.29,2508.9,M1II,Car
52946,HD 94275,10.863028,-57.272315,6.29,555.6,A6III,Car
55916,HR 4424,11.495446,56.737573,6.29,219.2,A4m,UMa
56615,HR 4482,11.642312,33.625829,6.29,809.3,K2III,UMa
56639,HR 4486,11.645846,45.108416,6.29,75.8,G0V,UMa
59614,HR 4665,12.261529,72.551196,6.29,481.1,K0III +K0III,Dra
60415,HR 4720,12.421551,-65.769853,6.29,158.1,G8/K0IV,Mus
61053,20 Vir,12.5508,10.295671,6.29,472.7,G8III,Vir
62328,HR 4864,12.813075,24.840226,6.29,55.2,G7V,Com
62628,HR 4886,12.874305,16.122495,6.29,360.8,A7V,Com
66435,HR 5135,13.661346,-39.747587,6.29,1000.5,M3/M4III,Cen
73237,HR 5592,15.014521,22.045589,6.29,785.9,K0,Boo
73536,HR 5604,15.078583,-40.86133,6.29,604.0,M6III,Lup
74045,HR 5632,15.179128,-61.42232,6.29,78.9,G3IV,Cir
75001,7 Ser,15.373122,12.567521,6.29,448.6,A0V,Ser
77546,HR 5909,15.882255,17.40315,6.29,623.6,K0,Ser
77822,HR 5923,15.937229,-31.785882,6.29,169.1,F3/F5V,Lup
79703,HR 6076,16.318811,-20.218072,6.29,470.0,K0III,Sco
82168,HR 6264,16.843363,41.8965,6.29,373.2,K3III:,Her
82602,HR 6282,16.932708,-33.506873,6.29,805.3,K5III,Sco
82627,HR 6335,16.937982,73.127867,6.29,294.1,F0V,Dra
83310,HR 6340,17.079257,-20.494703,6.29,472.0,B7IV/V,Oph
83427,HR 6350,17.103278,-21.564583,6.29,348.5,A1m...,Oph
89345,HR 6843,18.290045,-9.758578,6.29,432.6,A8V,Ser
89399,HR 6851,18.300817,13.777038,6.29,1531.3,B5V,Oph
92191,30 Sgr,18.847359,-22.16219,6.29,230.2,F2IV,Sgr
92781,HR 7136,18.959554,-39.823195,6.29,195.4,A5IV/V,CrA
93565,HD 177365,19.115226,-50.323144,6.29,565.3,B9V,Tel
94686,HR 7345,19.327502,37.330539,6.29,82.8,G8V,Lyr
95633,μ Tel,19.50961,-55.110053,6.29,112.1,F5V,Tel
96726,HR 7522,19.720653,58.016617,6.29,144.2,G0V,Cyg
100198,HR 7788,20.383553,-9.65471,6.29,521.9,G5II-III,Cap
101763,HR 7910,20.690073,-25.999911,6.29,565.3,K2III,Cap
102311,HR 7972,20.798038,52.407167,6.29,138.7,K0V:,Cyg
105003,HR 8158,21.337242,22.026186,6.29,760.3,B6IV,Vul
109239,HR 8476,22.199116,59.084579,6.29,384.6,K0III,Cep
110400,HR 8542,22.436306,-23.682447,6.29,393.4,A0V,Aqr
111200,HR 8606,22.598161,50.070788,6.29,1698.7,B3V,Lac
111905,HR 8646,22.73791,-60.499618,6.29,476.1,F3V,Tuc
114808,HR 8875,23.328193,48.380935,6.29,374.9,K1III,And
117406,25 Psc,23.884655,2.090625,6.29,411.8,A1V,Psc
4510,HR 276,0.965142,13.695865,6.30,484.6,G8III,Psc
9542,HD 12596,2.047705,-23.886628,6.30,838.4,K2III,For
11017,HR 698,2.369927,-43.199811,6.30,446.2,K0III,Phe
12657,HR 792,2.717182,48.265245,6.30,1304.6,G5,Per
13414,HR 856,2.886582,16.48346,6.30,349.6,F5III,Ari
